Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,Category
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1983/9780198301790.jpg,"Project X Origins: Purple Book Band, Oxford Level 8: Water: Don't Look Down",Tony Bradman,Paperback,0.0,6.09,9.3,0198301790,Science-Geography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241283912.jpg,The Little Book of Hygge,Meik Wiking,Hardback,3.5,11.61,11.99,0241283912,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3219/9780321934154.jpg,Presentation Zen Design,Garr Reynolds,Paperback,4.0,27.3,36.5,0321934154,Computing
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1992/9780199205592.jpg,The First World War: A Very Short Introduction,Michael Howard,Paperback,4.0,7.47,10.3,0199205592,History-Archaeology
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8573/9780857331014.jpg,Sherman Tank Manual,Pat Ware,Hardback,4.0,23.31,27.5,0857331014,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5923/9781592336388.jpg,"200 Low-Carb, High-Fat Recipes",Dana Carpender,Paperback,4.0,12.16,15.0,1592336388,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6201/9781620100004.jpg,Scott Pilgrim Color: Precious Little Life Volume 1,Bryan Lee O'Malley,Hardback,4.0,21.38,27.5,1620100004,Graphic-Novels-Anime-Manga
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6167/9781616773342.jpg,Adult Piano Adventures,Nancy Faber,Paperback,4.5,17.74,21.0,1616773342,Entertainment
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401944711.jpg,The Soul's Journey Lesson Cards,James Van Praagh,Cards,4.5,12.65,20.5,1401944711,Mind-Body-Spirit
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8027/9780802778994.jpg,Sciencia,Matt Tweed,Hardback,4.5,16.94,21.1,0802778994,Reference
